username,"ASU notes: ","ASU: ","American U notes: ","American U: ","Application Year: ","Attending: ","BC notes: ","BC: ","BU notes: ","BU: ","BYU notes: ","BYU: ","Baylor notes: ","Baylor: ","Brooklyn notes: ","Brooklyn: ","Cardozo notes: ","Cardozo: ","Case Western notes: ","Case Western: ","Catholic U notes: ","Catholic U: ","Chapman notes: ","Chapman: ","Chicago-Kent notes: ","Chicago-Kent: ","Columbia notes: ","Columbia: ","Cornell notes: ","Cornell: ","DePaul notes: ","DePaul: ","Duke notes: ","Duke: ","Emory notes: ","Emory: ","FSU notes: ","FSU: ","Fl International notes: ","Fl International: ","Fordham notes: ","Fordham: ","GPA: ","Gender: ","General Information: ","George Mason notes: ","George Mason: ","George Washington notes: ","George Washington: ","Georgetown notes: ","Georgetown: ","Georgia State notes: ","Georgia State: ","Gonzaga notes: ","Gonzaga: ","Harvard notes: ","Harvard: ","Highest LSAT: ","Hofstra notes: ","Hofstra: ","Indiana - Bloomington notes: ","Indiana - Bloomington: ","Indiana - Indianapolis notes: ","Indiana - Indianapolis: ","LSDAS GPA: ","LSU notes: ","LSU: ","Lewis & Clark notes: ","Lewis & Clark: ","Loyola - Chicago notes: ","Loyola - Chicago: ","Loyola - LA notes: ","Loyola - LA: ","Major(s): ","Marquette notes: ","Marquette: ","Mercer notes: ","Mercer: ","Michigan State notes: ","Michigan State: ","Minor(s): ","NYU notes: ","NYU: ","Northeastern notes: ","Northeastern: ","Northwestern notes: ","Northwestern: ","Notre Dame notes: ","Notre Dame: ","Ohio State notes: ","Ohio State: ","Oklahoma City notes: ","Oklahoma City: ","Penn State notes: ","Penn State: ","Penn notes: ","Penn: ","Pepperdine notes: ","Pepperdine: ","Pitt notes: ","Pitt: ","Residency: ","Rutgers - Camden notes: ","Rutgers - Camden: ","Rutgers - Newark notes: ","Rutgers - Newark: ","SMU notes: ","SMU: ","SUNY Buffalo notes: ","SUNY Buffalo: ","Saint Louis U notes: ","Saint Louis U: ","Santa Clara notes: ","Santa Clara: ","Seattle U notes: ","Seattle U: ","Seton Hall notes: ","Seton Hall: ","St. Johns notes: ","St. Johns: ","Stanford notes: ","Stanford: ","Stetson notes: ","Stetson: ","Syracuse notes: ","Syracuse: ","TLS Box: ","Temple notes: ","Temple: ","Tulane notes: ","Tulane: ","U of Alabama notes: ","U of Alabama: ","U of Arizona notes: ","U of Arizona: ","U of Arkansas notes: ","U of Arkansas: ","U of Chicago notes: ","U of Chicago: ","U of Cincinnati notes: ","U of Cincinnati: ","U of Colorado notes: ","U of Colorado: ","U of Connecticut notes: ","U of Connecticut: ","U of Denver notes: ","U of Denver: ","U of Florida notes: ","U of Florida: ","U of Georgia notes: ","U of Georgia: ","U of Hawaii notes: ","U of Hawaii: ","U of Houston notes: ","U of Houston: ","U of Illinois notes: ","U of Illinois: ","U of Iowa notes: ","U of Iowa: ","U of Kansas notes: ","U of Kansas: ","U of Kentucky notes: ","U of Kentucky: ","U of Louisville notes: ","U of Louisville: ","U of Maine notes: ","U of Maine: ","U of Maryland notes: ","U of Maryland: ","U of Miami notes: ","U of Miami: ","U of Michigan notes: ","U of Michigan: ","U of Minnesota notes: ","U of Minnesota: ","U of Missouri notes: ","U of Missouri: ","U of Nebraska notes: ","U of Nebraska: ","U of New Mexico notes: ","U of New Mexico: ","U of Oklahoma notes: ","U of Oklahoma: ","U of Oregon notes: ","U of Oregon: ","U of Richmond notes: ","U of Richmond: ","U of San Diego notes: ","U of San Diego: ","U of San Francisco notes: ","U of San Francisco: ","U of South Carolina notes: ","U of South Carolina: ","U of Tennessee notes: ","U of Tennessee: ","U of Texas notes: ","U of Texas: ","U of Tulsa notes: ","U of Tulsa: ","U of Utah notes: ","U of Utah: ","U of Washington notes: ","U of Washington: ","U of Wisconsin notes: ","U of Wisconsin: ","U of Wyoming notes: ","U of Wyoming: ","UC Berkeley/Boalt notes: ","UC Berkeley/Boalt: ","UC Davis notes: ","UC Davis: ","UC Hastings notes: ","UC Hastings: ","UCLA notes: ","UCLA: ","UNC notes: ","UNC: ","UNLV notes: ","UNLV: ","UOP (McGeorge) notes: ","UOP (McGeorge): ","USC notes: ","USC: ","UVA notes: ","UVA: ","Undergrad Institution: ","Underrepresented Minority?: ","Vanderbilt notes: ","Vanderbilt: ","Villanova notes: ","Villanova: ","WUSTL notes: ","WUSTL: ","Wake Forest notes: ","Wake Forest: ","Washington & Lee notes: ","Washington & Lee: ","Wayne State notes: ","Wayne State: ","West Virginia notes: ","West Virginia: ","William & Mary notes: ","William & Mary: ","William Mitchell notes: ","William Mitchell: ","Yale notes: ","Yale: "
Yanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,Male,,,,,,,,,,,,,,163,,,,,,,3.4,,,,,,,,,Philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Top 100 public",,,,,,,,,,,,,,,,,,,,,
lewiskv,,,,,2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PT, $20K merit",Accepted,3.4,Female,"Completed Master's & Post Master's w/ 3.95 GPA",,,,,,,,,,,,,163,,,,,,,3.4,,,,,,,,,"Psychology, Honors",,,,,,,,,,,,,,,,,,,,,,,,,,,,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fee Waiver",Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montclair State University",No,,,,,,,,,,,,,,,,,,,,
whowantstoknow,,,,,2013-2014,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,3.4,,,,,,,,,25k,Accepted,,,,,163,,,,,,,3.4,,,30k/year,Accepted,,,,,Philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5/year,Accepted,,,,,,,,,,,,,,,,"22k/year w/ stip","Waitlisted then accepted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33k/year,Accepted,,,,,,,,,,,,,,,,,,"Waitlisted then rejected",,,,,,,,Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
melanne89,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,Female,,,,,,,,,,,,,,163,,,,,,,3.3,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,Withdrew,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,"Riding out the waitlist",Waitlisted,,Applied,ED,Rejected,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
"The Walrus",,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,Male,"Editor of school paper, won national award for student newspapers. ",,,,,,,,,,,,,163,,,,,,,3.2,,,,,,,,,Business,,,,,,,"Econ, PoliSci",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christian Liberal Arts",No,,,,,,,,,,,,,,,,,,,,
Ignatius,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,163,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Domestic (no state specified)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waitlisted,,No,,,,,,,,,,,,,,,,,,,,
gobuffs10,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,Male,,,,,,,,,,,,,,163,,,,,,,2.7,,,,,,,,,History,,,,,,,Philosophy,,,,,,,,,,,,,,,,,,,,,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metro State College of Denver",No,,,,,,,,,,,,,,,,,,,,
Jchouu,,,,,2010-2011,"BLS probable Fall '10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mid ranged UC",,,,,,,,,,,,,,,,,,,,,
TeamBadass,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,Female,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,"Criminal Justice and Political Science",,,,,,,English,,,,,,,,,,,,,,,,,,,,,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana University",No,,,,,,,,,,,,,,,,,,,,
zakohl,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,"Half-tuition scholarship- Withdrawn",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$72,000 over 3 years- Withdrawn",Accepted,,,,,,,,,,,,,,,"LSN profile: ",,,,,,,,,,,,,,,,,"Full tuition: Connecticut Scholar- Attending",Accepted,,,,,Withdrawn,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000/ year- Withdrawn",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Accepted,"No scholarship-Withdrawn",Accepted,,,,,Withdrawn,Applied,,,,
ktmrnll,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,Applied,,,,,,,,,,,3.4,,,,,,,,,,,,,,,163,,,,,,,,,,,,,Applied,,,Communication,,,,,,,"French, Government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prismatic,,,,,2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,"International Business",,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard U.",Yes,,,,,,,,,,,,,,,,,,,,
Legendof5,,,,,2012-2013,"University of Cincinnati, 2005",,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,3.3,Female,"Worked as full time researcher. Went back to school to get a post-bach certificate in Paralegal studies.",,,,,,,,,,,,,163,,,,,,,3.9,,,,,,,,,Biology,,,,,,,Chemistry,,,,,,,,,,Applied,,,,,,,,,,,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of Cincinnati",Yes,,,,,,,,,,,,,,,,,,,,
squonk,,,,Accepted,2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waitlisted,,,,,,,3.3,Male,,,,"Still waiting",,"Still waiting",,,Accepted,,,,,163,,,,,,,3.4,,,,,,,,,"Int'l Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First choice so far",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
JOE!,,,,,2008-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,3.3,,,,Accepted,,,,Accepted,"Legal Studies (Business Admin emphasis)",,,,,,,"Honors program",,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,"Chapman University Law - 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chapman University",No,,,,,,,,,,,,,,,,,,,,
PHC,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,3.3,,,,,,,,,"Political Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,"Waitlisted then accepted",,,,,,,,,"UNC Chapel Hill",,,,,,,,,"Waitlisted then rejected",,,,,,,,,,,,
javale24,,,,,2010-2011,,,Waitlisted,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,Waitlisted,,,,,,,3.3,Male,,,,,,,Rejected,,,,,,,163,,,,,,,3.3,,,,,"Offered Scholarship",Accepted,"Offered Scholarship",Accepted,"Business Management",,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,"Offered Scholarship",Accepted,,,,,,"Offered Scholarship",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Offered Scholarship",Accepted,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Rejected,,,,Applied,,,,,,,,,,Applied,,,,
flyfree,,,,,2011-2012,"Fordham, PT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt,Accepted,3.3,Male,,,,,,,,,,,,,,163,,,,,,,3.3,,,,,,,,,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,NJ,,,,,,,,,,,,,,,,,,,,,,,,,"JD students to be.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Foreign,Yes,,,,,,,,,,,,,,,,,,,,
deusvult,,,,Rejected,2011-2012,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,Rejected,,,,,,,,,163,,,,,,,3.3,,,,,,,,,English,,,,,,,History,,,,,,,,,,,,,,,,,,,,,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,Accepted,,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,Accepted,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,UVM,No,,,,,,,,Applied,,Waitlisted,,,,,,,,,,
lookingaround,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,3.3,,,,,,,,,English,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
TDurden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
asmith5,,,,,2012-2013,"U Richmond Class of 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Female,,,Accepted,,,,,,,,,,,163,,,,,,,3.3,,,,,,,,,"Political Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,000/yr scholarship",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of Mary Washington",No,,,,,,,,,,Waitlisted,,,,,,,,,,
bjl211,,,,,2012-2013,"Lehigh University Class of 2012; George Mason University School of Law Class of 2015",,Rejected,,,,,,,"$53k/yr      Withdrew",Accepted,Withdrew,Accepted,,,,,,,"$25k/yr      Withdrew",Accepted,,,,,,,,,3/20,Waitlisted,,,,,3/14,Waitlisted,3.3,Male,,"$8k/yr      Attending","Waitlisted then accepted",,,,,,,,,,,163,,,,,,,3.3,,,,,,,,,"Science & Environmental Writing (Journalism)",,,,,,,"Environmental Studies, Science and Environmental Writing",,,$10k/yr,Accepted,,,,,,Rejected,,,"$10k/yr      Withdrew",Accepted,,,,,,,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,"$0      Withdrew",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/28,Rejected,,,,,"$19k/yr      Withdrew",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"B.A. from Lehigh University (2012), #38 by U.S. News & World Report",No,,,,,,Rejected,,Rejected,,,,,,,3/23,Waitlisted,,,,
Psib337,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Female,,,,,,,,,,,,,,163,,,,,,,3.3,,,,,,,,,"Music Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,,,,,,,,,,,,,,,,,,,,http://lawschoolnumbers.com/kmillz337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
devshall,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,"Under Review",Applied,,,,,"Under Review",Applied,,,,,,,,,,,3.3,Female,,,,,,,,,,,,,,163,,,,,,,3.3,,,,,"Under Review",Applied,,,Biomed.,,,,,"50% Tuition - Trustee Scholarship",Accepted,Anthropology,,,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScndCareertyme,,,,,2010-2011,"University of Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,"Waitlisted then accepted",,,,,3.3,Male,"ten years outta ugrad. solid softs = lots of volunteer wk and several professional awards. Gr8 LORs",,,,,,,"this was my backup if a fl school didn't come thru",Accepted,,,,,163,,,,,,,3.2,,,,,,,,,Chemistry,,,,Accepted,,,"General Studues",,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,"not gr8 ug gpa at secnd teir place. took the Dec 09 lsat (with one of the easiest curves in recent hist) -160. Retook in June 10 to get off the WL at FSU/UF. was accepted at both, although UF admissions front desk said they would not consider.",,,,,,,,,,,,,,,,Rejected,,,scholly,Accepted,"was my first choice all along","Waitlisted then accepted",,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"scholly but couldn't really consider once went TTT",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Augusta State University",No,,,,,,,,,,,,,,,,,,,,
PJRooney,,,,,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,3.2,,,,,,,,,Pre-Law,,,,,,,History,,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCSB,No,,,,,,,,,,,,,,,,,,,,
jamesdalton,,,,,2011-2012,"University of Kansas 2008",,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,"2 tours in Iraq, 2 years WE with USCIS (immigration)",,Rejected,,,,,,,,,,,163,,,,,,,3.2,,,,,,,,,"History and Sociology",,,,,,,,,,,,,,,,"$8,500 a year",Accepted,,,"10K a year",Accepted,,,,,,Accepted,,,,,,,,,,,,,,,,"25K a year",Accepted,,,,,,,,,,,Accepted,,Waitlisted,,,,,,,,,"6.5K a year",Accepted,,,,,,,,,,,,,,,,,,Waitlisted,"12.5K for 1L, 5k for 2L",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waitlisted,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
BoomBap,,,,,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,2.6,,,,,,,,,"Business Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USF,Yes,,,,,,,,,,,,,,,,,,,,
rickvidal13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,"Criminal Justice, Psychology",,,,,,,,,,,,,,,,,,,,,,,,,,,,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rutgers University",Yes,,,,,,,,,,,,,,,,,,,,
"BCEaglesFan 888",,,,,2009-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boston College",Yes,,,,,,,,,,,,,,,,,,,,
dh22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mommamia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,3.3,,,,,,,,,,,,,,,163,,,,Applied,,Accepted,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,
PDTPapaBear,,,,Accepted,2011-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,Male,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,"Political Science, History",,,,,,,,,,,,,,,,,,,,,,,,,,,,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler University",No,,,,,,,,,,,,,,,,,,,,
NicG,,,,,2011-2012,,,,,,,,,,,Accepted,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,3.3,Female,,,,,,,,,,,,,,163,,,,,,,,,,,Accepted,,,,,Philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,WA,,,,,,,,,,,,,,Accepted,,,,,,Applied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"w/ $",Accepted,,,,,,,,,,,,,,,,,"still waiting",Waitlisted,,,,,,,,,,,,,,,"Full scholarship",Accepted,,,,,,,"UW 1991",No,,,,,,,,,,"Waitlisted then rejected",,,,,,,,,,
mbp13,,,,Accepted,,,,Applied,,Rejected,,,,,,,,,,,,,,,,Accepted,,,,Rejected,,,,,,,,,,,,Waitlisted,3.3,Female,,,Accepted,,Rejected,,,,,,,,,163,,,,,,,,,,,,,,,,Government,,,,,,,History,,,,Accepted,,,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,Waitlisted,,,,
